,geo_value,time_value,direction,value,stderr,sample_size
385,12131,20200516,-1,1.3500560273251,,
386,12133,20200516,0,-3.9257252777451,,
387,13001,20200516,0,0.0,,
388,13003,20200516,0,0.0,,
389,13005,20200516,0,0.0,,
390,13007,20200516,-1,0.0,,
391,13009,20200516,0,4.4553352639786,,
392,13011,20200516,0,0.0,,
393,13013,20200516,0,0.0,,
394,13015,20200516,0,0.0,,
395,13017,20200516,0,0.0,,
396,13019,20200516,0,0.0,,
397,13021,20200516,0,1.9587487512977,,
398,13023,20200516,0,7.768197001476,,
399,13025,20200516,1,15.699408655607,,
400,13027,20200516,-1,-6.4695607168273,,
401,13029,20200516,0,0.0,,
402,13031,20200516,0,0.0,,
403,13033,20200516,-1,0.0,,
404,13035,20200516,-1,4.0102662816811,,
405,13037,20200516,0,-16.157699143642,,
406,13039,20200516,0,1.8292906011049,,
407,13043,20200516,-1,0.0,,
408,13045,20200516,0,0.83338889259284,,
409,13047,20200516,0,1.4797277300977,,
410,13049,20200516,1,0.0,,
411,13051,20200516,0,1.0365200566631,,
412,13053,20200516,0,0.0,,
413,13055,20200516,0,0.0,,
414,13057,20200516,0,1.9321953990563,,
415,13059,20200516,0,-1.5584698942578,,
416,13061,20200516,0,35.285815102329,,
417,13063,20200516,-1,1.0264973174203,,
418,13065,20200516,0,15.110305228166,,
419,13067,20200516,0,1.5786544864703,,
420,13069,20200516,0,0.0,,
421,13071,20200516,0,2.1929824561404,,
422,13073,20200516,0,1.9143152494353,,
423,13075,20200516,0,0.0,,
424,13077,20200516,0,2.0200795911359,,
425,13079,20200516,0,0.0,,
426,13081,20200516,-1,0.0,,
427,13083,20200516,0,0.0,,
428,13085,20200516,-1,0.0,,
429,13087,20200516,0,0.0,,
430,13089,20200516,0,6.4533377584792,,
431,13091,20200516,0,4.8531909730648,,
432,13093,20200516,0,14.936519790889,,
433,13095,20200516,0,0.0,,
434,13097,20200516,0,3.4166307920434,,
435,13099,20200516,0,0.0,,
436,13101,20200516,0,0.0,,
437,13103,20200516,0,6.2212268259301,,
438,13105,20200516,-1,0.0,,
439,13107,20200516,0,4.4157908681445,,
440,13109,20200516,0,0.0,,
441,13111,20200516,0,0.0,,
442,13113,20200516,0,0.87396544340637,,
443,13115,20200516,1,8.1219923247173,,
444,13117,20200516,-1,0.40941322896025,,
445,13119,20200516,0,0.0,,
446,13121,20200516,0,4.3235642711927,,
447,13123,20200516,0,6.3757212534668,,
448,13125,20200516,0,0.0,,
449,13127,20200516,0,-1.1724429020307,,
450,13129,20200516,0,3.4504770284492,,
451,13131,20200516,0,0.0,,
452,13133,20200516,0,0.0,,
453,13135,20200516,0,0.0,,
454,13137,20200516,1,6.6184256971408,,
455,13139,20200516,0,2.9348320542357,,
456,13141,20200516,0,0.0,,
457,13143,20200516,0,0.0,,
458,13145,20200516,0,0.0,,
459,13147,20200516,0,0.0,,
460,13149,20200516,0,0.0,,
461,13151,20200516,0,0.85265666500399,,
462,13153,20200516,0,-0.63346065892578,,
463,13155,20200516,0,0.0,,
464,13157,20200516,0,0.0,,
465,13159,20200516,0,0.0,,
466,13161,20200516,0,0.0,,
467,13163,20200516,0,0.0,,
468,13165,20200516,0,0.0,,
469,13167,20200516,0,0.0,,
470,13169,20200516,0,0.0,,
471,13171,20200516,0,0.0,,
472,13173,20200516,0,0.0,,
473,13175,20200516,1,14.722584444538,,
474,13177,20200516,0,0.0,,
475,13179,20200516,0,1.6277366322129,,
476,13181,20200516,0,0.0,,
477,13183,20200516,0,0.0,,
478,13185,20200516,0,0.0,,
479,13187,20200516,0,0.0,,
480,13189,20200516,0,9.3843843843844,,
481,13191,20200516,0,6.9550702462095,,
482,13193,20200516,0,0.0,,
483,13195,20200516,0,0.0,,
484,13197,20200516,0,0.0,,
485,13199,20200516,0,-4.7243350498417,,
486,13201,20200516,0,0.0,,
487,13205,20200516,0,0.0,,
488,13207,20200516,1,174.05178040467,,
489,13209,20200516,0,0.0,,
490,13211,20200516,0,0.0,,
491,13213,20200516,0,2.4940143655227,,
492,13215,20200516,0,0.0,,
493,13217,20200516,-1,-0.89490263459336,,
494,13219,20200516,0,0.0,,
495,13221,20200516,0,0.0,,
496,13223,20200516,0,1.1857684075723,,
497,13225,20200516,0,-3.6302911493502,,
498,13227,20200516,0,0.0,,
499,13229,20200516,0,5.1374261494991,,
500,13231,20200516,-1,0.0,,
501,13233,20200516,0,2.3467017107455,,
502,13235,20200516,-1,0.0,,
503,13237,20200516,1,67.81500067815,,
504,13239,20200516,0,0.0,,
505,13241,20200516,0,0.0,,
506,13243,20200516,0,0.0,,
507,13245,20200516,0,0.0,,
508,13247,20200516,-1,0.0,,
509,13249,20200516,1,19.022256039566,,
510,13251,20200516,1,7.1602463124731,,
511,13253,20200516,0,0.0,,
512,13255,20200516,0,0.0,,
513,13257,20200516,1,3.8572806171649,,
514,13259,20200516,-1,0.0,,
515,13261,20200516,0,6.7741498441946,,
516,13263,20200516,1,0.0,,
517,13265,20200516,0,0.0,,
518,13267,20200516,0,0.0,,
519,13269,20200516,-1,0.0,,
520,13271,20200516,0,0.0,,
521,13273,20200516,0,0.0,,
522,13275,20200516,0,4.4993363478887,,
523,13277,20200516,0,2.4603877571105,,
524,13279,20200516,0,3.7271710771524,,
525,13281,20200516,0,0.0,,
526,13283,20200516,0,14.490653528474,,
527,13285,20200516,0,5.7206601641829,,
528,13287,20200516,0,0.0,,
529,13289,20200516,0,0.0,,
